Parcels,Hem,Network,Group
1,L,Vis,1
2,L,Vis,1
3,L,Vis,1
4,L,Vis,1
5,L,Vis,1
6,L,Vis,1
7,L,Vis,1
8,L,Vis,1
9,L,Vis,1
10,L,Vis,1
11,L,Vis,1
12,L,Vis,1
13,L,Vis,1
14,L,Vis,1
15,L,Vis,1
16,L,Vis,1
17,L,Vis,1
18,L,Vis,1
19,L,Vis,1
20,L,Vis,1
21,L,Vis,1
22,L,Vis,1
23,L,Vis,1
24,L,Vis,1
25,L,Vis,1
26,L,Vis,1
27,L,Vis,1
28,L,Vis,1
29,L,Vis,1
30,L,Vis,1
31,L,Vis,1
32,L,SomMot,5
33,L,SomMot,5
34,L,SomMot,5
35,L,SomMot,5
36,L,SomMot,5
37,L,SomMot,5
38,L,SomMot,5
39,L,SomMot,5
40,L,SomMot,5
41,L,SomMot,5
42,L,SomMot,5
43,L,SomMot,5
44,L,SomMot,5
45,L,SomMot,5
46,L,SomMot,5
47,L,SomMot,5
48,L,SomMot,5
49,L,SomMot,5
50,L,SomMot,5
51,L,SomMot,5
52,L,SomMot,5
53,L,SomMot,5
54,L,SomMot,5
55,L,SomMot,5
56,L,SomMot,5
57,L,SomMot,5
58,L,SomMot,5
59,L,SomMot,5
60,L,SomMot,5
61,L,SomMot,5
62,L,SomMot,5
63,L,SomMot,5
64,L,SomMot,5
65,L,SomMot,5
66,L,SomMot,5
67,L,SomMot,5
68,L,SomMot,5
69,L,DorsAttn,3
70,L,DorsAttn,3
71,L,DorsAttn,3
72,L,DorsAttn,3
73,L,DorsAttn,3
74,L,DorsAttn,3
75,L,DorsAttn,3
76,L,DorsAttn,3
77,L,DorsAttn,3
78,L,DorsAttn,3
79,L,DorsAttn,3
80,L,DorsAttn,3
81,L,DorsAttn,3
82,L,DorsAttn,3
83,L,DorsAttn,3
84,L,DorsAttn,3
85,L,DorsAttn,3
86,L,DorsAttn,3
87,L,DorsAttn,3
88,L,DorsAttn,3
89,L,DorsAttn,3
90,L,DorsAttn,3
91,L,DorsAttn,3
92,L,SalVentAttn,4
93,L,SalVentAttn,4
94,L,SalVentAttn,4
95,L,SalVentAttn,4
96,L,SalVentAttn,4
97,L,SalVentAttn,4
98,L,SalVentAttn,4
99,L,SalVentAttn,4
100,L,SalVentAttn,4
101,L,SalVentAttn,4
102,L,SalVentAttn,4
103,L,SalVentAttn,4
104,L,SalVentAttn,4
105,L,SalVentAttn,4
106,L,SalVentAttn,4
107,L,SalVentAttn,4
108,L,SalVentAttn,4
109,L,SalVentAttn,4
110,L,SalVentAttn,4
111,L,SalVentAttn,4
112,L,SalVentAttn,4
113,L,SalVentAttn,4
114,L,Limbic,6
115,L,Limbic,6
116,L,Limbic,6
117,L,Limbic,6
118,L,Limbic,6
119,L,Limbic,6
120,L,Limbic,6
121,L,Limbic,6
122,L,Limbic,6
123,L,Limbic,6
124,L,Limbic,6
125,L,Limbic,6
126,L,Limbic,6
127,L,Cont,2
128,L,Cont,2
129,L,Cont,2
130,L,Cont,2
131,L,Cont,2
132,L,Cont,2
133,L,Cont,2
134,L,Cont,2
135,L,Cont,2
136,L,Cont,2
137,L,Cont,2
138,L,Cont,2
139,L,Cont,2
140,L,Cont,2
141,L,Cont,2
142,L,Cont,2
143,L,Cont,2
144,L,Cont,2
145,L,Cont,2
146,L,Cont,2
147,L,Cont,2
148,L,Cont,2
149,L,Default,0
150,L,Default,0
151,L,Default,0
152,L,Default,0
153,L,Default,0
154,L,Default,0
155,L,Default,0
156,L,Default,0
157,L,Default,0
158,L,Default,0
159,L,Default,0
160,L,Default,0
161,L,Default,0
162,L,Default,0
163,L,Default,0
164,L,Default,0
165,L,Default,0
166,L,Default,0
167,L,Default,0
168,L,Default,0
169,L,Default,0
170,L,Default,0
171,L,Default,0
172,L,Default,0
173,L,Default,0
174,L,Default,0
175,L,Default,0
176,L,Default,0
177,L,Default,0
178,L,Default,0
179,L,Default,0
180,L,Default,0
181,L,Default,0
182,L,Default,0
183,L,Default,0
184,L,Default,0
185,L,Default,0
186,L,Default,0
187,L,Default,0
188,L,Default,0
189,L,Default,0
190,L,Default,0
191,L,Default,0
192,L,Default,0
193,L,Default,0
194,L,Default,0
195,L,Default,0
196,L,Default,0
197,L,Default,0
198,L,Default,0
199,L,Default,0
200,L,Default,0
201,R,Vis,1
202,R,Vis,1
203,R,Vis,1
204,R,Vis,1
205,R,Vis,1
206,R,Vis,1
207,R,Vis,1
208,R,Vis,1
209,R,Vis,1
210,R,Vis,1
211,R,Vis,1
212,R,Vis,1
213,R,Vis,1
214,R,Vis,1
215,R,Vis,1
216,R,Vis,1
217,R,Vis,1
218,R,Vis,1
219,R,Vis,1
220,R,Vis,1
221,R,Vis,1
222,R,Vis,1
223,R,Vis,1
224,R,Vis,1
225,R,Vis,1
226,R,Vis,1
227,R,Vis,1
228,R,Vis,1
229,R,Vis,1
230,R,Vis,1
231,R,SomMot,5
232,R,SomMot,5
233,R,SomMot,5
234,R,SomMot,5
235,R,SomMot,5
236,R,SomMot,5
237,R,SomMot,5
238,R,SomMot,5
239,R,SomMot,5
240,R,SomMot,5
241,R,SomMot,5
242,R,SomMot,5
243,R,SomMot,5
244,R,SomMot,5
245,R,SomMot,5
246,R,SomMot,5
247,R,SomMot,5
248,R,SomMot,5
249,R,SomMot,5
250,R,SomMot,5
251,R,SomMot,5
252,R,SomMot,5
253,R,SomMot,5
254,R,SomMot,5
255,R,SomMot,5
256,R,SomMot,5
257,R,SomMot,5
258,R,SomMot,5
259,R,SomMot,5
260,R,SomMot,5
261,R,SomMot,5
262,R,SomMot,5
263,R,SomMot,5
264,R,SomMot,5
265,R,SomMot,5
266,R,SomMot,5
267,R,SomMot,5
268,R,SomMot,5
269,R,SomMot,5
270,R,SomMot,5
271,R,DorsAttn,3
272,R,DorsAttn,3
273,R,DorsAttn,3
274,R,DorsAttn,3
275,R,DorsAttn,3
276,R,DorsAttn,3
277,R,DorsAttn,3
278,R,DorsAttn,3
279,R,DorsAttn,3
280,R,DorsAttn,3
281,R,DorsAttn,3
282,R,DorsAttn,3
283,R,DorsAttn,3
284,R,DorsAttn,3
285,R,DorsAttn,3
286,R,DorsAttn,3
287,R,DorsAttn,3
288,R,DorsAttn,3
289,R,DorsAttn,3
290,R,DorsAttn,3
291,R,DorsAttn,3
292,R,DorsAttn,3
293,R,DorsAttn,3
294,R,SalVentAttn,4
295,R,SalVentAttn,4
296,R,SalVentAttn,4
297,R,SalVentAttn,4
298,R,SalVentAttn,4
299,R,SalVentAttn,4
300,R,SalVentAttn,4
301,R,SalVentAttn,4
302,R,SalVentAttn,4
303,R,SalVentAttn,4
304,R,SalVentAttn,4
305,R,SalVentAttn,4
306,R,SalVentAttn,4
307,R,SalVentAttn,4
308,R,SalVentAttn,4
309,R,SalVentAttn,4
310,R,SalVentAttn,4
311,R,SalVentAttn,4
312,R,SalVentAttn,4
313,R,SalVentAttn,4
314,R,SalVentAttn,4
315,R,SalVentAttn,4
316,R,SalVentAttn,4
317,R,SalVentAttn,4
318,R,SalVentAttn,4
319,R,Limbic,6
320,R,Limbic,6
321,R,Limbic,6
322,R,Limbic,6
323,R,Limbic,6
324,R,Limbic,6
325,R,Limbic,6
326,R,Limbic,6
327,R,Limbic,6
328,R,Limbic,6
329,R,Limbic,6
330,R,Limbic,6
331,R,Limbic,6
332,R,Cont,2
333,R,Cont,2
334,R,Cont,2
335,R,Cont,2
336,R,Cont,2
337,R,Cont,2
338,R,Cont,2
339,R,Cont,2
340,R,Cont,2
341,R,Cont,2
342,R,Cont,2
343,R,Cont,2
344,R,Cont,2
345,R,Cont,2
346,R,Cont,2
347,R,Cont,2
348,R,Cont,2
349,R,Cont,2
350,R,Cont,2
351,R,Cont,2
352,R,Cont,2
353,R,Cont,2
354,R,Cont,2
355,R,Cont,2
356,R,Cont,2
357,R,Cont,2
358,R,Cont,2
359,R,Cont,2
360,R,Cont,2
361,R,Cont,2
362,R,Default,0
363,R,Default,0
364,R,Default,0
365,R,Default,0
366,R,Default,0
367,R,Default,0
368,R,Default,0
369,R,Default,0
370,R,Default,0
371,R,Default,0
372,R,Default,0
373,R,Default,0
374,R,Default,0
375,R,Default,0
376,R,Default,0
377,R,Default,0
378,R,Default,0
379,R,Default,0
380,R,Default,0
381,R,Default,0
382,R,Default,0
383,R,Default,0
384,R,Default,0
385,R,Default,0
386,R,Default,0
387,R,Default,0
388,R,Default,0
389,R,Default,0
390,R,Default,0
391,R,Default,0
392,R,Default,0
393,R,Default,0
394,R,Default,0
395,R,Default,0
396,R,Default,0
397,R,Default,0
398,R,Default,0
399,R,Default,0
400,R,Default,0
